Time,Category,Headline,Full_Text,URL,Sentiment,Passes_threshold
2026-02-25 15:34:08,Finland / Domestic,Asbestos concerns prompt Tokmanni to issue warning about 'Stretcherz' toys,"Some of the toys may contain asbestos, a dangerous carcinogen. Finnish department store chain Tokmanni has issued a warning to consumers that some 'Stretcherz'-branded toys it has sold may contain asbestos. UK toy manufacturer HTI issued a product safety recall regarding the affected sand-filled toys on 13 February. The toys have been sold at Tokmanni and other stores in Finland. The recall affects some, but not all, of the firm's Stretcherz-branded product line. Tokmanni said that the toys can be returned to the place of purchase for a refund. A receipt is not necessary, the retailer said. The intelligence agency said it's seeking creative people with good interpersonal and teamwork skills, as well as an ability to withstand stressful situations. For a salaried employee, it takes an average of 46 days to earn what a chief executive makes in a single day. Finland's pandemic-era restrictions were effective and adhered to, according to health agency THL.",https://yle.fi/a/74-20212319,1.0,0
2026-02-20 12:11:47,Crime,"Finnish police use new law to launch first probes into suspected FGM cases, paper says","Finland introduced a specific law banning the practice and preparation of female genital mutilation (FGM) at the beginning of last year. Police in different parts of Finland have launched separate preliminary investigations into suspected cases of female genital mutilation (FGM). The investigations are the first of their kind, according to Helsingin Sanomat, since a specific law banning the practice and preparation of FGM was introduced at the beginning of 2025. Previously, FGM was only punishable under law as assault or aggravated assault. According to Helsingin Sanomat's information, the first investigation is taking place in the Kuopio region, where police suspect the mutilation has already occurred. In a separate case, police in Tampere have investigated suspicions that a woman or girl was being prepared for an FGM procedure. Although the exact details of the case are not currently known, this could mean the victim is being forced or coerced into being mutilated, or they are being taken abroad for the purpose of having the procedure carried out. Both acts are now illegal under Finnish law. Finland's Minister of Education, Anders Adlercreutz (SPP), said earlier this year that he wants to investigate whether girls are being taken out of the country to undergo FMG procedures, and to see how common the practice might be. His comments followed an Yle investigation which uncovered evidence that some Somali parents in Finland have sent their children to disciplinary institutions in Somalia. Once there, the report revealed, they are subjected to severe treatment — including physical abuse and being locked in chains. The intelligence agency said it's seeking creative people with good interpersonal and teamwork skills, as well as an ability to withstand stressful situations. For a salaried employee, it takes an average of 46 days to earn what a chief executive makes in a single day. Finland's pandemic-era restrictions were effective and adhered to, according to health agency THL.",https://yle.fi/a/74-20211474,1.0,0
