Time,Category,Headline,Full_Text,URL,Sentiment_analysis,Passes_treshold
9.2. 16:47,Education,Finnish retailers raise price of plastic bags to discourage use,"Finland’s two biggest retail chains, the S and K stores, are raising the price of plastic bags to 50 cents this month. The aim of the price increase is to reduce the use of plastic bags. Previously, a plastic bag cost 35 euros at a K-Citymarket, for example. Both grocery chains say that people bought fewer plastic bags last year. Now only about 20 percent of shoppers buy a plastic bag on a typical visit. Both major retailers raised the price of plastic bags last spring, after which their sales clearly decreased. The use of plastic bags decreased by almost 10 percent last year, the S group says. Correspondingly, demand for paper bags has grown strongly. Since the price of plastic bags rose in the spring, sales of paper at S and K stores rose by almost 50 percent from a year earlier. The EU's target is that each consumer should buy no more than 40 plastic bags per year. There is still some way to go to achieve that goal in Finland, where the average resident still buys around 60 plastic bags annually. According to the EU, lightweight plastic carrier bags with a thickness of less than 50 microns are among the top 10 littered items in Europe. It points out that while they are often only used once, they take centuries to fully degrade in the natural environment. Before that, they are frequently ingested by animals or break up into microplastics. Either way, they end up in the human and animal food chain. According to a recent study by the Finnish Environment Institute (Syke), re-using ordinary plastic bags may be a better alternative than using so-called biodegradable plastic ones.",https://yle.fi/a/74-20209212,"[{'label': '2 stars', 'score': 0.27404868602752686}]",1
9.2. 15:36,Education,Finnish women travelling to Sweden to treat birthing injuries,"An increasing number of Finnish women are travelling to Sweden for treatment of injuries sustained during childbirth, according to a report by Yle's Swedish-language unit. Svenska Yle interviewed nearly 30 women injured during vaginal delivery. In Sweden, birth injuries are more routinely treated with pelvic floor surgery. Finnish gynaecologists take a more cautious view of this kind of surgery. Some doctors worry that operations are performed too readily in Sweden. At the same time, many women in Finland say their symptoms are not taken seriously. Finnish gynaecologist Päivi Karjalainen said Sweden is a pioneer in the treatment of childbirth injuries, both compared with Finland and internationally. She works at Hospital Nova in Jyväskylä, where she regularly treats women injured during childbirth. In her view, Sweden leads the field in perineal repair surgery. According to her, perineal injuries have received less attention in Finland and elsewhere because their significance has long been poorly understood. Karjalainen said Finland has taken a more cautious approach to the surgical treatment of childbirth injuries. She believes this reflects an outdated view that perineal repair surgery does more harm than good. Tomi Mikkola, chief physician and head of gynaecological surgery at Helsinki University Hospital, meanwhile, said the Swedish way of describing the procedures is misleading. He argued that it is simplistic to suggest that surgeons simply identify a muscle, stitch it and repair the damage. In practice, Mikkola said, individual muscles cannot be repaired in isolation. Surgical procedures instead aim to reattach larger structures, in the process also restoring the muscles. His position is that there is no major difference between the Swedish and Finnish approaches in the treatment of birthing injuries.",https://yle.fi/a/74-20209171,"[{'label': '2 stars', 'score': 0.35768383741378784}]",1
9.2. 14:37,Education,"More than €4 billion needed for road and rail repairs, says Finland's infrastructure agency","The estimated cost of the Finnish state's backlog of needed repairs to roads, railways and waterways rose by more than 100 million euros last year. The Finnish Transport Infrastructure Agency published its latest data on Monday. The agency said that the price tag for the total backlog of repairs now adds up to almost 4.3 billion euros. That would cover the cost of fixing infrastructure that is in poor or very poor condition. It covers state-owned transport routes, not municipal streets or private roads, for instance. At the end of last year, by far the largest chunk of this ‘repair debt’ was for state roads, which the agency says need over 2.6 billion euros in maintenance. A large proportion of this is for less-used roads. The rail network needs approximately 1.6 billion euros in repairs while 29 million euros should be spent to maintain water transport routes, the agency said. The figure for waterways is virtually unchanged from last year’s report. The Finnish Transport Infrastructure Agency has updated its repair needs calculation annually since 2016, with the shortfall in needed expenditures increasing practically every year. Meanwhile Prime Minister Petteri Orpo (NCP) has vowed to push ahead with a new high-speed rail line between Helsinki and his native Turku that could cost up to four billion euros. The government’s overall state budget for this year calls for spending of just over 90 billion euros.",https://yle.fi/a/74-20209161,"[{'label': '2 stars', 'score': 0.37895306944847107}]",1
12:15,Corruption,Finland again ranks second in global corruption perceptions index,"Finland has ranked second in the global Corruption Perceptions Index (CPI) for 2025, according to Transparency International, which compiles the index. With a score of 88, Finland was led by its Nordic neighbour Denmark (89), and followed by Singapore (84). Finland's score was unchanged from last year. The rankings are based on perceived levels of public sector corruption on a scale of zero (highly corrupt) to 100 (very clean). At the other end of the spectrum, the most corruption was cited in Venezuela (10), Somalia (9) and South Sudan (9). In a press release on Tuesday, the group explained that the index is based on scores of 182 countries and territories around the world, ""using data from 13 external sources, including the World Bank, World Economic Forum, private risk and consulting companies, think tanks and others"". ""The scores reflect the views of experts and businesspeople, not the public,"" TI noted. The release added that overall, corruption seems to be on the rise. Just 10 years ago, a dozen countries scored above 80 points — meaning they were nearly ""clean"". However this year's index found just five countries in such a position. ""While 31 countries have significantly reduced their corruption levels since 2012, the rest are failing to tackle the problem – they have stayed stagnant or got worse during the same period,"" Transparency International's CPI 2025 page explained. The global average has fallen to a new low of 42, while more than two-thirds of countries score below 50. And people are paying the price, as corruption ""leads to under-funded hospitals, unbuilt flood defences and blights the hopes and dreams of young people,"" it continued. The organisation voiced concerns about developments in the United States, which placed 29th in the ranking. ""The United States (with a score of 64) sustained its downward slide to its lowest-ever score. While the full impact of 2025 developments are not yet reflected, recent actions, such as targeting independent voices and undermining judicial independence, raise serious concerns,"" the group said.",https://yle.fi/a/74-20209365,"[{'label': '1 star', 'score': 0.4035019874572754}]",1
12:15,Corruption,"Flight delays, cancellations top Finns' list of complaints to European Consumer Centre","The European Consumer Centre (ECC) saw a nine-percent increase in the number of complaints from consumers in Finland last year compared to 2024. The ECC is a network of 29 independent, national offices that aims to help consumers with problems related to cross-border trade. It is funded by the European Commission as well as by member governments. In a press release, the centre noted that the most common complaint it received from people in Finland last year related to flights. In total, it received some 2,748 contacts from Finnish consumers, of which one in five were related to air travel — usually in connection with flight cancellations or delays. The next most-complained-about category was online services, with the centre handling complaints about, for example, consumers receiving invoices they were not expecting in relation to health assessments or CV services. Nearly 850 cases, of the overall total, proceeded to mediation — a 17 percent increase on the figure for 2024. Of the mediation cases concerning Finnish consumers that were completed in 2025, the ECC noted that 51 percent ended in full settlements and five percent in partial settlements. ""In 30 percent of the cases, no resolution was reached, because the trader did not accept the consumer's claim, did not respond to the request for a reply, or could not be reached,"" the centre said, adding that a further four percent of cases were settled independently.",https://yle.fi/a/74-20209352,"[{'label': '2 stars', 'score': 0.28553318977355957}]",1
12:15,Corruption,Electric shock risk prompts Ikea to recall some Nymåne lamps,"Swedish home furnishing giant Ikea has warned customers to stop using some of its Nymåne-branded light fixtures, due to the risk of electrical shock. The company advised people who own the affected models to stop using them and to contact Ikea's customer service department. The shock risk was caused by a manufacturing error, according to the company. The recall affects the following models, if they have manufacturing dates (numbers shown in week-year format) from: 2217 to 2520 — with a supplier ID number of 23241: The lamp fixtures manufactured before or after the affected period — or ones with a different ID number — are not subject to the recall, Ikea said. The date stamp on the wall and reading lamp are on a sticker inside the lamp shade visible when there is no bulb in the unit. In the double wall lamp, the date stamp and supplier ID number can be found on stickers on the back of the fixture. Ikea also encouraged customers to warn others about the recall, especially if they have gifted, sold or loaned the items.",https://yle.fi/a/74-20209329,"[{'label': '1 star', 'score': 0.4718778729438782}]",1
12:15,Corruption,"Tuesday's papers: Finland's melancholic class, healthcare time bomb, and a cancelled snowstorm","One of Helsingin Sanomat's most-read articles on Tuesday morning features researcher Jaakko Vuori and his focus on a new category of people in Finland: the guilt-riddled melancholic class. Vuori himself is one of them. He holds a doctorate in social sciences yet he is unemployed, and he is constantly gripped by feelings of anxiety, depression and failure. He wakes up in the middle of the night wondering if he has made the wrong choices in life or if he can ever make a living. And he's not alone. According to sociologists, many so-called 'knowledge workers' in Finland — people whose job is to ""think for a living"" — suffer the same symptoms of melancholy, a term which is often misunderstood. ""It refers to a type of depression characterised by feelings of guilt and remorse. This is precisely how the term melancholy began to be used in the early 20th century, and it is this type of depression I also examined in my dissertation,"" Vuori tells HS. The guilt aspect, Vuori explains, derives from dramatic changes in society and working life expectations that began in the 1980s, and which have created an environment nowadays that constantly demands self-improvement. ""And if a person feels they are failing to construct their personal success story and to compete for resources, they blame themselves and become depressed,"" he says. Last year, the All Points North podcast examined the trials and tribulations that foreigners in Finland can face when seeking out mental health care. Listen to the episode via this embedded player, on Yle Areena, via Apple, Spotify or wherever you get your podcasts. Tabloid Iltalehti meanwhile reports on more financial misery for Finland's network of regional healthcare authorities, also known as wellbeing services counties. According to information obtained by IL, plans by the regional authorities to cut back even further on personnel costs this year represent a ""ticking time bomb"" in terms of redundancies in the healthcare sector. The regions have already reduced their workforce by a combined total of about 3,600 person-years — a HR term that measures the amount of work done by one person in a year — between 2023 and 2025. There are plans in the pipeline to cut back even further this year, by an estimated 1,500 person-years, according to IL. ""The number is likely higher because many regions have set significant savings targets for personnel this year, but the exact means of achieving these savings have not yet been decided,"" the tabloid writes. The bleak financial situation facing Finland's healthcare sector has been widely reported over the past few years, but Iltalehti's regional breakdown reveals that some areas have much deeper problems than others. Central Finland, for example, is described by IL as ""facing the country's worst financial problems"", and while it has already cut 1,200 jobs, another 500 person-years are now on the line. Ilta-Sanomat informed its readers on Monday that Finland would be in the eye of a winter storm so powerful this weekend that ""it's worth considering whether to even go outside"". But while a week is a long time in politics, 24 hours can be an equally long time in meteorology. Because on Tuesday morning the same paper is back with new information: let's not batten down the hatches just yet. ""On Monday, it looked like a low-pressure system was approaching Finland and we would get quite heavy snowfall up to the latitude of Oulu during the weekend,"" Pinja Rauhamäki of the Finnish Meteorological Institute says. ""Now, however, it looks like the low-pressure system’s track will pass much further south, and according to the current forecast the snowfalls would only reach the southern coast — if even there."" Much further south, in this context, means Riga — with the Latvian capital now looking set to receive the mounds of snow previously promised to Finland. But if the storm can change its trajectory once, could it do so again? ""If only we could say for sure... High-pressure systems play a role in how the track of a low-pressure system can change. High-pressure systems tend to steer the paths of low-pressure systems. It’s a very interesting weather event, and there are still many possibilities open,"" Rauhamäki explains. Or watch this space, in other words.",https://yle.fi/a/74-20209287,"[{'label': '1 star', 'score': 0.4718778729438782}]",1
12:15,Corruption,Language teachers worried about focus on English,"The Federation of Foreign Language Teachers in Finland (Sukol) warns that Finland's future competitiveness is at risk due to students’ heavy focus on English and declining interest in other languages In a statement on Monday, the organisation said that exam data from the past decade ""reveal a worrying trend"" with languages ​​besides English losing ground. ""This is not just a detail of educational policy, but a question concerning the future competitiveness of Finland as a whole,"" Sukol said. It referred to Finnish Matriculation Examination Board statistics dating back to 2017. Since last year alone, the number of students opting for the advanced English exam has increased from 38,000 to over 44,000. While ""proficiency in English is certainly essential, problems will arise if other language skills are not built alongside it,"" the federation said in a press release. Sukol notes that the popularity of many traditionally important languages, such as Swedish, German, French and Russian, is slowly fading. Regarding Finland’s second official language, participation in the intermediate-level Swedish exam remains high, but its popularity has declined over the past decade. The number of candidates taking the Swedish exam has decreased by around 3,000 to around 12,000. This suggests that Swedish proficiency is increasingly seen as just something that must be achieved, rather than a language that people want to master properly, Sukol said. The popularity of basic exams in German, French and Russian has also slumped. The number of students choosing the German exam has dropped from over 1,600 to around 1,200, while the number of French examinees has dropped from about 1,000 to less than 700. Russian — once a crucial skill for business and tourism in eastern Finland, for instance — has fallen by more than half from around 630 candidates to less than 300 in the past few years. Trade with Russia ground to a halt after its full-scale invasion of Ukraine nearly four years. The association points out that these are not marginal languages, as Germany is Europe's dominant economic power, French is a key language in the EU, and Russia remains Finland's largest neighbour. Meanwhile, Sukol points to growing interest in Spanish among high school students. ""The number of participants in the advanced Spanish test has multiplied over the past decade, and basic-level Spanish has also remained popular,"" it noted. As Sukol sees it, the problem is not the strengthening of English, but the loss of proficiency in other languages. ""For a small country, diverse language skills are a necessity, not a luxury,"" the group argues. Sukol was established in 1957 and has about 3,000 members.",https://yle.fi/a/74-20209123,"[{'label': '2 stars', 'score': 0.37895306944847107}]",1
12:15,Corruption,Finnwatch calls out private healthcare firms' tax planning,"Finnish healthcare firms dodge taxes using a variety of methods, according to a report by Finnwatch, a group focusing on corporate social responsibility. A common tactic for them is to purchase medical services through doctors' own companies, converting wages into more lightly taxed dividends. The NGO's review included Mehiläinen, Terveystalo, Attendo, Pihlajalinna, Coronaria and Esperi Care. While private Finnish healthcare companies have steered clear of aggressive international tax planning, they do reduce their tax bills by using employee funds and converting earned income into dividend payouts. Twenty percent of any withdrawal from an employee fund is tax-free. According to Tero Määttä at the Finnish Tax Administration, this reduces tax revenue, but even so, the companies are complying with the law. Finnwatch noted these firms often purchase physicians' services through the doctors' own limited companies, thereby reducing personal taxation Määttä noted that such arrangements are nothing new. According to Finnwatch, highly paid doctors can sharply reduce their tax rate by invoicing their work through a limited company. The tax office did not comment on any moral dimension or on whether the actions of the healthcare giants are fair from the perspective of lower-paid healthcare staff. Yle News' All Points North podcast asked if private health insurance has become necessary in Finland today.",https://yle.fi/a/74-20209129,"[{'label': '1 star', 'score': 0.36932986974716187}]",1
12:15,Corruption,Russian neo-Nazi mercenary appeals Ukraine war crimes convictions in Finland,"Russian neo-Nazi militant Voislav Torden is back in court, appealing a life sentence handed down last year by Helsinki District Court for war crimes in Ukraine. The Helsinki Court of Appeal began hearing the case on Monday. Last March, the District Court found Torden guilty of four war crimes. They stemmed from an ambush in the Luhansk region of eastern Ukraine in September 2014 and the events that followed. Twenty-two Ukrainian soldiers were killed in the attack. Torden has denied all charges. According to the district court, Torden (formerly known as Yan Petrovsky) served as deputy commander of the Rusich militant group. Rusich was fighting in eastern Ukraine alongside Russian troops and pro-Moscow separatists. The BBC describes Rusich as a subunit of the Wagner group, while the New York Times calls it a neo-Nazi militia group. According to the prosecutor, Rusich soldiers deceived Ukrainian soldiers in September 2014 by hanging a Ukrainian flag at a checkpoint. When the Ukrainians stopped, Rusich fighters opened fire, the indictment says. According to the district court, it was clear that Rusich participated in the armed attack against the Ukrainian soldiers. However, according to the court, it was not proven that it was Rusich who was behind the ambush. The court noted that there were other groups and individuals at the scene. According to the prosecutor, Torden led the actions of Rusich's soldiers when they shot at least four wounded Ukrainian soldiers after the ambush. The district court said there was evidence that the Rusich combatants had killed at least one soldier, but that there was insufficient evidence regarding the others. Torden was also convicted on charges including the mutilation of a wounded Ukrainian soldier and the distribution of ""degrading"" images of a dead soldier. Torden has denied holding a leadership position within Rusich. According to his defence, Torden had no military training. It claims that his main tasks were creating propaganda and recruitment videos and obtaining humanitarian aid. Torden said he went to Luhansk in 2014 because he had heard that the Russian-speaking population there was being oppressed. Last spring, the Russian Embassy in Helsinki alleged the verdict Torden's conviction had been politicised, and that the ""show trial"" was part of Western hybrid warfare against Russia. Russia's news agency, Tass, reported that Russian diplomats in Finland ""are closely monitoring the situation and are prepared to protect Torden's rights"". Earlier Russia’s Federal Agency for the Commonwealth of Independent States Affairs, Compatriots Living Abroad, and International Humanitarian Cooperation said it was ""outraged by the hostile and illegal actions of the Finnish authorities"" in the case. Torden arrived in Finland from Russia in July 2023 by car via the Vaalimaa border crossing point. Shortly after crossing the border, the Border Guard found out that he had been previously known as Jan Petrovsky and that he had an entry ban imposed by Norway and the Czech Republic for the entire Schengen area. The next day, Torden was detained at Helsinki Airport just before boarding a flight to Nice, France. At first, Finnish authorities investigated him for violating the entry ban, but then found him on an EU sanctions list. In late 2023, the Finnish Supreme Court ruled that Torden could not be extradited to Ukraine due to the country's poor prison conditions. It ruled that he should be tried in Finland for war crimes based on international treaties signed by Finland. Finnish courts have previously prosecuted cases relating to massacres in Iraq and Rwanda. In late 2024, Rusich claimed that it had an agreement with the Russian Border Guard to carry out intelligence and surveillance tasks along the Finnish border near the Saimaa Canal.",https://yle.fi/a/74-20209080,"[{'label': '1 star', 'score': 0.36932986974716187}]",1
